Row.names	sig	Pattern	FC_x_axis	FC_y_axis	padj	ENTREZID
PPAPDC1A	Sen_high	Pro = Qui > Sen	2.39995054934452	2.6114096502466	1.11022302462516e-16	NA
PPARG	Sen_low	Pro < Qui < Sen	-3.48621379865565	-2.91921671682092	0	5468
PPIF	Sen_high	Pro = Qui > Sen	1.72371102113655	1.90828787633259	2.22044604925031e-16	10105
PPM1G	Sen_high	Pro = Qui > Sen	1.14884304161474	1.22448536129465	0	5496
PPM1M	Sen_low	Pro = Qui < Sen	-1.14310538340974	-1.21839710174635	1.11022302462516e-16	132160
PPP1R12B	Sen_low	Pro < Qui < Sen	-1.72674582332512	-1.31629653717818	0	4660
PPP1R14A	Sen_low	Pro = Qui < Sen	-1.80870679021574	-1.69676798291125	1.40193336388705e-05	94274
PPP1R16A	Sen_high	Pro = Qui > Sen	1.35856007000795	1.16100308259665	0	84988
PPP1R18	Sen_high	Pro > Sen > Qui	1.10256482003698	1.32969618521169	0	170954
PPP1R3E	Sen_low	Pro = Qui < Sen	-1.2253319598706	-1.66498305680334	1.72672987019951e-12	90673
PPP2R2A	Sen_high	Pro > Sen > Qui	1.26882850595888	1.65597546659903	1.11022302462516e-16	5520
PPP2R5B	Sen_high	Pro = Qui > Sen	1.56807893208849	1.69174231895471	1.11022302462516e-16	5526
PPP3CB-AS1	Sen_low	Pro = Qui < Sen	-1.91379585992854	-1.83050756604119	4.44089209850063e-15	101929145
PPP6R1	Sen_high	Pro = Qui > Sen	1.11557385604691	1.19206414980265	1.11022302462516e-16	22870
PPT2-EGFL8	Sen_low	Pro < Sen < Qui	-1.16768349586475	-1.90803277908233	1.66053873584815e-06	100532746
PQLC2L	Sen_high	Pro = Qui > Sen	1.30661704136578	1.96669918704573	0	NA
PQLC3	Sen_low	Pro = Qui < Sen	-1.84868286322239	-1.4928152427538	0	NA
PRDM1	Sen_high	Pro > Qui > Sen	2.04961455381106	1.33055253820901	1.11022302462516e-16	639
PRDM11	Sen_low	Pro < Sen < Qui	-2.6464106995377	-3.21307916517084	0	56981
PRDM5	Sen_low	Pro = Qui < Sen	-1.70473059644102	-1.94086812653249	0	11107
PREX1	Sen_high	Pro = Qui > Sen	5.89046059537873	5.64911621325103	0	57580
PRICKLE1	Sen_low	Pro = Qui < Sen	-2.69752205542521	-2.54671593136989	1.11022302462516e-16	144165
PRIMPOL	Sen_low	Pro = Qui < Sen	-1.68727441044084	-1.86753877762062	1.11022302462516e-16	201973
PRKAA2	Sen_low	Pro = Qui < Sen	-1.52144218487829	-1.38647403605073	1.11022302462516e-16	5563
PRKACA	Sen_high	Pro = Qui > Sen	1.04415683515626	1.09759737198863	0	5566
PRKAR2A	Sen_high	Pro > Sen > Qui	1.07675458159583	1.41272451155985	1.11022302462516e-16	5576
PRKAR2B	Sen_low	Pro < Sen < Qui	-2.40602601453425	-4.38145482386828	4.71667434887024e-07	5577
PRKCA	Sen_low	Pro = Qui < Sen	-1.86943289210851	-1.81326321919887	0	5578
PRKCD	Sen_high	Pro > Sen > Qui	1.08392982932259	1.51850397431777	0	5580
PRKCE	Sen_low	Pro < Qui < Sen	-2.32941562908901	-1.91535363011274	0	5581
PRKD1	Sen_low	Pro = Qui < Sen	-2.57116674302506	-2.65769096776026	1.11022302462516e-16	5587
