baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA3	67.4919655513438	-2.00395346021337	0.2861023528138	-7.00432359435216	2.48181902631979e-12	1.31421184001564e-11
ABCA4	5.94258626198914	-0.919955184556707	0.865262731489208	-1.06320907058295	0.287687149865567	0.384172111943706
ABCA5	76.3225619740404	1.3123290624931	0.249397360048595	5.26200061715729	1.42496288349944e-07	5.21772611394307e-07
ABCA6	4.27009202544132	-0.24444256108112	0.952855071984492	-0.256536978464127	0.797536230823633	0.85098047134459
ABCA7	89.835281256333	1.14825228903609	0.251336194135629	4.56859105782612	4.9101374289852e-06	1.53987578262363e-05
ABCA8	7.45553746070896	4.44264930262858	1.22047298408798	3.64010458285434	0.000272527326569218	0.000691618189346089
ABCA9	0.184279405928922	-0.966205354590972	4.0804728567969	-0.236787595090003	0.812821575607245	NA
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	32.9858430861136	0.931241660450451	0.37564786463775	2.47902822860042	0.0131740879395739	0.0253458167537059
ABCB10	290.70642206066	0.910066369156979	0.131228563343918	6.93497167054945	4.06302573745628e-12	2.12562068671997e-11
ABCB11	0	NA	NA	NA	NA	NA
ABCB4	0.144431798704551	0.957347997051518	4.0804728567969	0.234616925696945	0.814506071389839	NA
ABCB5	0	NA	NA	NA	NA	NA
ABCB6	354.10810322513	0.981669091899276	0.133296505019308	7.36455236959952	1.77742267993495e-13	1.01219941709327e-12
ABCB7	221.763414161152	-0.189387037201352	0.144881486617604	-1.30718590499568	0.191149581337313	0.273323336629027
ABCB8	402.2845071612	0.137876234719989	0.112574936177658	1.22475072517388	0.220669155672455	0.308874756888125
ABCB9	118.685088023798	-0.582293008691371	0.195455388392269	-2.97916068459948	0.00289039160555165	0.0062553193110593
ABCC1	4365.98399950486	0.877228933308359	0.0581757375439461	15.078948206642	2.2278980895297e-51	4.99707909007205e-50
ABCC10	637.110213325376	-0.612962902585438	0.0952225057321746	-6.43716417534185	1.21726250902674e-10	5.74245106194426e-10
ABCC11	1.22571907504722	3.75712417485597	2.10589668578395	1.78409710230269	0.0744078880657152	0.120652112913171
ABCC12	0.184279405928922	-0.966205354590972	4.0804728567969	-0.236787595090003	0.812821575607245	NA
ABCC13	0	NA	NA	NA	NA	NA
ABCC2	6.31076186482601	1.13614379797712	0.854930537391181	1.32893112163715	0.183870695112947	0.264632944228246
ABCC3	474.272895957076	1.95591397425815	0.131753879450206	14.8452097381873	7.47207487627035e-50	1.61296521020376e-48
ABCC4	2618.31777056839	0.29035388288557	0.0765284459971608	3.79406479645938	0.000148200971855592	0.000389439220487196
ABCC5	651.225408689222	-0.704061419003031	0.11470747971165	-6.13788587085072	8.36269049003899e-10	3.7202984359836e-09
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	39.9546717391084	2.09948328521889	0.360291139924363	5.82718544136177	5.63699639621726e-09	2.33404160772312e-08
ABCC6P1	1.24801935793695	2.63416790059628	1.98717399226884	1.32558493158857	0.18497722010603	0.265939893951831
ABCC6P2	0.489488250561061	0.801277438936601	3.14375345623758	0.254879223224955	0.798816383879387	NA
ABCC8	0	NA	NA	NA	NA	NA
